,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",7/4/2018 11:29,7/4/2018 11:29,7/4/2018 11:30,7/4/2018 11:29,7/4/2018 11:32,7/4/2018 11:32,7/4/2018 11:30,7/4/2018 11:30,7/4/2018 11:30,7/4/2018 11:38,7/4/2018 11:35,7/4/2018 11:39,7/4/2018 11:39,7/4/2018 11:31,7/4/2018 11:39,7/4/2018 11:29,7/4/2018 11:42,7/4/2018 11:42,7/4/2018 11:43,7/4/2018 11:45,7/4/2018 11:40,7/4/2018 12:19,7/4/2018 12:15,7/4/2018 12:16,7/4/2018 12:53,7/4/2018 12:55,7/4/2018 13:05,7/4/2018 12:42,7/4/2018 13:07,7/4/2018 13:32
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",7/4/2018 11:40,7/4/2018 11:42,7/4/2018 11:43,7/4/2018 11:44,7/4/2018 11:44,7/4/2018 11:45,7/4/2018 11:47,7/4/2018 11:48,7/4/2018 11:48,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:56,7/4/2018 11:57,7/4/2018 11:57,7/4/2018 12:01,7/4/2018 12:04,7/4/2018 12:19,7/4/2018 12:22,7/4/2018 12:26,7/4/2018 12:27,7/4/2018 12:34,7/4/2018 13:11,7/4/2018 13:12,7/4/2018 13:21,7/4/2018 13:21,7/4/2018 13:33,7/4/2018 13:45
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",67.241.46.125,72.198.74.135,184.167.83.143,24.167.164.138,97.121.110.141,142.129.109.174,69.204.84.71,49.34.144.242,97.84.104.156,208.107.138.33,108.26.144.81,173.91.17.128,69.40.115.161,162.234.116.141,173.63.61.15,104.11.61.83,24.251.45.4,24.209.229.22,68.8.98.166,74.66.213.88,32.208.75.84,73.0.11.8,24.131.61.204,75.185.110.45,73.188.191.75,47.183.112.142,75.104.115.253,67.61.123.166,99.40.167.164,76.106.201.205
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",714,816,790,889,727,795,1056,1106,1099,885,1106,917,893,1382,1017,1631,892,1159,1270,2008,2521,457,700,1085,1088,1017,968,2360,1535,768
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",7/4/2018 11:40,7/4/2018 11:42,7/4/2018 11:43,7/4/2018 11:44,7/4/2018 11:44,7/4/2018 11:45,7/4/2018 11:47,7/4/2018 11:48,7/4/2018 11:48,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:56,7/4/2018 11:57,7/4/2018 11:57,7/4/2018 12:01,7/4/2018 12:04,7/4/2018 12:19,7/4/2018 12:22,7/4/2018 12:26,7/4/2018 12:27,7/4/2018 12:34,7/4/2018 13:11,7/4/2018 13:12,7/4/2018 13:21,7/4/2018 13:21,7/4/2018 13:33,7/4/2018 13:45
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_21B8Fhp2vX28v1o,R_3fDCTlzcJxKq6pe,R_2aqSmFZ9XYYW1y9,R_1jAF9n0A9Im2vLb,R_22DoECqnN3Ij1LA,R_2pJOSS10WzM3WWT,R_1qX1ebn98pbtgwr,R_1rvlkbhwPHqOJrp,R_SI4sQ3rPb5P1lCh,R_3O0Ij2uKfTIG6Hv,R_1CIQhknem8NOOi6,R_yyWLlXcHmu2sZsB,R_sBjkyTE0R4BCXiV,R_2t8QVuFmfUAkRke,R_2WHUiolRvIl2Bld,R_1opch7l3UWoa4fF,R_3LgMUGZPbChFD38,R_2q9LfWIrecZTBfX,R_21EuXTHXuzlThe0,R_2V9LgMAqfnGMjAC,R_TtS7DzwDRaO6tTH,R_3e47V1fJMwGGCUG,R_3MtXzbXlQRPLCWo,R_3pmX16bCJGd3Lts,R_1q9xgEbLvB0OtOD,R_3n2VMuBvJj2Szxr,R_x3ITNQeFKApYQut,R_3p5dGBUvsNUSUjd,R_3oBACBeqiDipIbH,R_bIqQ2gRAHAdi0k9
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",43.24560547,35.5151062,41.10339355,36.07139587,44.10139465,34.07640076,42.93559265,22.30000305,35.96780396,46.81590271,42.15559387,41.55839539,37.99519348,30.06880188,40.9519043,37.91369629,32.26860046,39.7519989,32.76629639,40.76649475,41.206604,27.44309998,33.91879272,38.14419556,40.0124054,30.57499695,41.33859253,43.60079956,28.88409424,29.8946991
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-75.48020172,-97.57409668,-104.905899,-79.76789856,-122.8063049,-118.2626038,-78.80660248,73.19999695,-118.919899,-100.7061005,-71.42680359,-81.4756012,-84.36889648,-91.68360138,-74.1894989,-122.0117035,-111.0021973,-84.2460022,-117.129303,-73.82700348,-73.17179871,-80.38739777,-84.06780243,-85.69319916,-75.14710236,-101.3595963,-105.860199,-116.6102982,-81.23480225,-81.3144989
