,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:38:16,2018-07-04 11:39:26,2018-07-04 11:37:18,2018-07-04 11:42:41,2018-07-04 11:37:48,2018-07-04 11:42:04,2018-07-04 11:44:34,2018-07-04 11:42:00,2018-07-04 11:38:42,2018-07-04 11:43:55,2018-07-04 11:45:20,2018-07-04 11:38:38,2018-07-04 11:51:43,2018-07-04 11:45:50,2018-07-04 11:39:51,2018-07-04 11:57:03,2018-07-04 11:39:41,2018-07-04 11:41:33,2018-07-04 11:48:56,2018-07-04 11:57:33,2018-07-04 12:05:21,2018-07-04 11:38:24,2018-07-04 12:02:04,2018-07-04 12:09:15,2018-07-04 12:21:29,2018-07-04 12:18:17,2018-07-04 11:42:10,2018-07-04 12:39:57,2018-07-04 13:05:51,2018-07-04 13:26:36
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:51:50,2018-07-04 11:52:26,2018-07-04 11:52:41,2018-07-04 11:53:20,2018-07-04 11:53:32,2018-07-04 11:55:46,2018-07-04 11:55:55,2018-07-04 11:56:49,2018-07-04 11:57:37,2018-07-04 11:58:24,2018-07-04 11:59:22,2018-07-04 12:02:17,2018-07-04 12:06:58,2018-07-04 12:08:40,2018-07-04 12:09:15,2018-07-04 12:09:17,2018-07-04 12:09:46,2018-07-04 12:10:28,2018-07-04 12:16:45,2018-07-04 12:17:30,2018-07-04 12:21:21,2018-07-04 12:22:43,2018-07-04 12:23:24,2018-07-04 12:27:06,2018-07-04 12:30:50,2018-07-04 12:31:13,2018-07-04 12:34:53,2018-07-04 12:51:56,2018-07-04 13:21:43,2018-07-04 13:39:07
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",174.60.56.18,100.36.53.170,73.167.138.231,50.44.110.133,172.56.0.234,173.29.238.222,98.193.105.168,69.180.83.7,24.127.94.39,88.244.36.130,68.44.95.7,24.128.190.141,184.18.202.140,174.60.239.169,71.11.171.75,174.21.113.94,24.60.247.22,70.113.182.176,174.27.167.0,173.217.96.226,174.59.105.108,108.219.219.20,64.253.11.97,47.186.114.31,184.101.124.16,24.131.61.204,108.56.4.132,174.207.18.144,107.15.241.1,71.223.15.57
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",814,780,922,638,943,822,681,889,1135,869,842,1419,915,1369,1763,734,1805,1735,1668,1197,960,2659,1279,1070,561,776,3162,719,951,750
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:51:51,2018-07-04 11:52:27,2018-07-04 11:52:41,2018-07-04 11:53:20,2018-07-04 11:53:33,2018-07-04 11:55:47,2018-07-04 11:55:56,2018-07-04 11:56:50,2018-07-04 11:57:38,2018-07-04 11:58:25,2018-07-04 11:59:23,2018-07-04 12:02:17,2018-07-04 12:06:59,2018-07-04 12:08:40,2018-07-04 12:09:16,2018-07-04 12:09:18,2018-07-04 12:09:47,2018-07-04 12:10:29,2018-07-04 12:16:45,2018-07-04 12:17:31,2018-07-04 12:21:22,2018-07-04 12:22:44,2018-07-04 12:23:24,2018-07-04 12:27:07,2018-07-04 12:30:51,2018-07-04 12:31:14,2018-07-04 12:34:54,2018-07-04 12:51:57,2018-07-04 13:21:44,2018-07-04 13:39:08
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_3GuH1AdX86rmPUe,R_1GCf3z8V47zJYRt,R_1FJJG6UOccX69LN,R_1eS6jGY5UCiIQcb,R_7TF7eN0fxa4dLq1,R_AyDljEl6D41PSIF,R_29aX9AoTxPdhIYp,R_3IRJjcvDitJA2nl,R_2Vg2HaM24qMH3N2,R_3DwOilcSJ2iDlev,R_2a9yhA3gpFKEGcZ,R_ZgXLtw1cakJRxnz,R_3sByf13TuYj3uyV,R_1Nw4KqBnT5yCDi5,R_25u199SR0KMzlKY,R_2y15rZnf7DTawMM,R_1dEvQHPKEbUnRN8,R_1mmTkVXdtkT4ZBQ,R_1o1kpGXEn1ZIXbG,R_2w0LUTvQqwRn06q,R_vBRzkc8jzlqWDhT,R_1CIxTAVpopmkLlU,R_0eL3eqstM0StkBz,R_2XoLq5HRDETl1qc,R_1hMVIczX9Ds1UZK,R_2WSAax6mKzBUt9i,R_2SxJCmWWk4cPOAj,R_yP9V1ProEW0Qo7L,R_qUzYXivxgfmuBEd,R_2DMvvHkvhDXMtn4
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",39.796798706055,38.624603271484,43.81950378418,40.466094970703,37.751007080078,41.729705810547,42.359497070312,30.218704223633,42.646499633789,41.018600463867,40.10009765625,42.273406982422,41.130599975586,41.384994506836,30.098297119141,47.127807617188,42.428100585938,27.563293457031,43.63200378418,30.13459777832,40.114196777344,41.972793579102,32.095703125,33.016204833984,33.352798461914,33.918792724609,38.858993530273,31.845703125,36.092407226562,33.623794555664
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-76.99299621582,-76.939102172852,-73.092597961426,-88.903396606445,-97.821998596191,-93.605796813965,-88.273399353027,-81.753997802734,-83.355400085449,28.964706420898,-85.671997070312,-83.713302612305,-85.128898620605,-75.646102905273,-95.357002258301,-122.25340270996,-71.05460357666,-99.217597961426,-116.28379821777,-93.273002624512,-76.508796691895,-87.661598205566,-81.25309753418,-96.538200378418,-111.78900146484,-84.067802429199,-76.972099304199,-102.3675994873,-78.901000976562,-112.00399780273
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",24,24,30,30,54,37,40,37,50,45,44,25,31,34,44,29,52,40,61,32,23,30,50,47,70,47,49,41,61,30
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",3,5,5,5,3,3,5,5,5,5,4,5,5,3,4,3,6,3,5,4,3,5,3,4,2,3,3,2,5,5
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID77_1""}",5,2,1,2,4,1,3,5,2,3,3,5,2,3,1,2,1,1,1,4,1,3,1,2,3,4,4,2,5,4
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID77_2""}",3,2,4,4,2,1,1,1,2,2,4,2,4,3,4,3,1,5,1,1,2,3,2,1,3,2,4,4,2,3
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID77_3""}",4,3,5,4,5,4,5,4,4,5,5,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,5,4,5,5
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID77_4""}",4,1,4,1,1,4,1,2,4,2,2,2,2,2,1,3,4,4,5,1,5,1,1,3,2,2,2,1,3,3
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID77_5""}",5,4,4,4,4,2,4,5,4,5,4,4,4,5,5,2,3,5,4,5,4,5,3,2,3,4,5,5,4,3
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID77_6""}",2,5,5,4,4,5,3,5,4,3,4,4,4,3,5,3,5,1,5,1,5,2,5,4,3,3,4,5,1,3
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID77_7""}",4,3,3,4,4,4,5,4,4,3,4,2,3,5,4,4,4,1,5,5,5,3,3,4,3,3,4,4,4,3
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID77_8""}",4,3,2,2,1,4,1,2,3,2,2,4,2,1,2,2,2,5,1,1,1,1,2,4,2,3,4,2,1,2
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID77_9""}",2,5,1,4,5,4,5,5,2,4,3,2,3,5,2,2,4,4,4,5,4,5,5,2,3,4,4,5,5,3
Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID77_10""}",5,2,4,5,5,4,5,5,4,5,4,5,3,5,5,4,3,5,5,5,3,5,3,4,4,4,5,5,4,3
Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID77_11""}",3,2,2,4,4,1,4,5,3,5,4,2,3,4,1,2,3,1,3,5,2,5,3,3,3,4,2,5,3,3
Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID77_12""}",2,1,4,2,2,1,1,1,2,1,2,1,2,1,4,2,1,1,1,1,1,1,1,2,3,2,2,1,1,2
